iter	Passed	Remaining
618	1037	638
619	1039	637
620	1042	636
621	1043	634
622	1045	632
623	1048	631
624	1050	630
625	1051	628
626	1052	626
627	1054	624
628	1056	623
629	1058	621
630	1060	620
631	1063	619
632	1066	618
633	1067	616
634	1069	614
635	1071	613
636	1073	611
637	1075	609
638	1076	608
639	1077	606
640	1079	604
641	1081	602
642	1083	601
643	1086	600
644	1089	599
645	1093	599
646	1095	597
647	1097	596
648	1105	597
649	1108	597
650	1114	597
651	1122	599
652	1124	597
653	1127	596
654	1130	595
655	1140	598
656	1143	596
657	1149	597
658	1152	596
659	1154	594
660	1157	593
661	1159	592
662	1165	592
663	1172	593
664	1177	593
665	1179	591
666	1184	591
667	1193	593
668	1196	591
669	1199	591
670	1204	590
671	1212	591
672	1215	590
673	1226	593
674	1230	592
675	1232	590
676	1234	588
677	1239	588
678	1242	587
679	1247	587
680	1249	585
681	1251	583
682	1256	583
683	1259	582
684	1263	580
685	1266	579
686	1271	579
687	1273	577
688	1278	577
689	1282	576
690	1289	576
691	1290	574
692	1292	572
693	1294	570
694	1296	568
695	1302	568
696	1305	567
697	1306	565
698	1308	563
699	1310	561
700	1313	560
701	1320	560
702	1323	559
703	1327	558
704	1329	556
705	1340	558
706	1343	556
707	1351	557
708	1355	556
709	1360	555
710	1366	555
711	1369	553
712	1374	553
713	1376	551
714	1381	550
715	1383	548
716	1385	547
717	1388	545
718	1393	544
719	1396	543
720	1398	541
721	1400	539
722	1402	537
723	1404	535
724	1407	533
725	1409	531
726	1413	530
727	1415	528
728	1417	526
729	1421	525
730	1423	523
731	1425	521
732	1427	520
733	1429	517
734	1432	516
735	1433	514
736	1435	512
737	1438	510
738	1440	508
739	1442	506
740	1444	504
741	1446	503
742	1448	500
743	1449	498
744	1450	496
745	1452	494
746	1453	492
747	1455	490
748	1457	488
749	1459	486
750	1460	484
751	1462	482
752	1464	480
753	1465	478
754	1466	475
755	1468	473
756	1469	471
757	1470	469
758	1472	467
759	1475	466
760	1477	463
761	1478	461
762	1479	459
763	1481	457
764	1482	455
765	1484	453
766	1485	451
767	1486	449
768	1488	447
769	1492	445
770	1494	443
771	1495	441
772	1497	439
773	1498	437
774	1500	435
775	1501	433
776	1502	431
777	1504	429
778	1507	427
779	1508	425
780	1510	423
781	1512	421
782	1513	419
783	1515	417
784	1516	415
785	1517	413
786	1520	411
787	1522	409
788	1525	407
789	1527	405
790	1528	403
791	1529	401
792	1530	399
793	1532	397
794	1533	395
795	1535	393
796	1537	391
797	1538	389
798	1541	387
799	1543	385
800	1545	383
801	1546	381
802	1548	379
803	1550	378
804	1552	375
805	1553	373
806	1554	371
807	1556	369
808	1557	367
809	1559	365
810	1561	363
811	1564	362
812	1565	360
813	1567	358
814	1568	356
815	1569	353
816	1571	351
817	1572	349
818	1573	347
819	1574	345
820	1576	343
821	1580	342
822	1582	340
823	1583	338
824	1585	336
825	1586	334
826	1588	332
827	1589	330
828	1590	328
829	1591	326
830	1595	324
831	1597	322
832	1599	320
833	1601	318
834	1602	316
835	1603	314
836	1605	312
837	1606	310
838	1609	308
839	1611	306
840	1613	304
841	1614	303
842	1616	301
843	1617	298
844	1618	296
845	1620	294
846	1621	292
847	1623	291
848	1625	289
849	1626	287
850	1628	285
851	1631	283
852	1633	281
853	1634	279
854	1636	277
855	1639	275
856	1641	273
857	1642	271
858	1644	269
859	1645	267
860	1648	266
861	1651	264
862	1654	262
863	1656	260
864	1659	258
865	1661	257
866	1662	255
867	1664	253
868	1668	251
869	1670	249
870	1672	247
871	1674	245
872	1675	243
873	1677	241
874	1678	239
875	1680	237
876	1681	235
877	1687	234
878	1689	232
879	1690	230
880	1692	228
881	1693	226
882	1695	224
883	1696	222
884	1700	220
885	1703	219
886	1705	217
887	1706	215
888	1708	213
889	1709	211
890	1711	209
891	1712	207
892	1714	205
893	1717	203
894	1719	201
895	1720	199
896	1722	197
897	1723	195
898	1726	193
899	1728	192
900	1729	190
901	1730	188
902	1732	186
903	1734	184
904	1735	182
905	1737	180
906	1738	178
907	1741	176
908	1742	174
909	1744	172
910	1746	170
911	1747	168
912	1748	166
913	1750	164
914	1752	162
915	1754	160
916	1756	158
917	1758	157
918	1759	155
919	1761	153
920	1762	151
921	1764	149
922	1765	147
923	1766	145
924	1770	143
925	1772	141
926	1773	139
927	1775	137
928	1776	135
929	1777	133
930	1778	131
931	1780	129
932	1781	127
933	1782	125
934	1786	124
935	1788	122
936	1789	120
937	1791	118
938	1792	116
939	1793	114
940	1794	112
941	1796	110
942	1797	108
943	1799	106
944	1801	104
945	1803	102
946	1805	101
947	1806	99
948	1808	97
949	1809	95
950	1810	93
951	1812	91
952	1813	89
953	1815	87
954	1816	85
955	1818	83
956	1820	81
957	1821	79
958	1823	77
959	1825	76
960	1827	74
961	1829	72
962	1831	70
963	1832	68
964	1833	66
965	1835	64
966	1836	62
967	1838	60
968	1840	58
969	1841	56
970	1844	55
971	1846	53
972	1847	51
973	1849	49
974	1850	47
975	1852	45
976	1853	43
977	1855	41
978	1857	39
979	1859	37
980	1860	36
981	1862	34
982	1863	32
983	1864	30
984	1866	28
985	1867	26
986	1868	24
987	1870	22
988	1872	20
989	1874	18
990	1876	17
991	1877	15
992	1879	13
993	1880	11
994	1881	9
995	1883	7
996	1884	5
997	1885	3
998	1887	1
999	1889	0
